Node,Axis,Poly_Degree,R_squared,Polynomial_Expression,Coefficients_high_to_low
A,x,3,0.96763716,"49.0992·L^3 - 38.2953·L^2 + 8.54709·L + 3.41365","49.099245, -38.295322, 8.5470893, 3.4136515"
A,y,3,0.93548155,"-84.3705·L^3 + 57.1852·L^2 - 9.39225·L - 2.67067","-84.370478, 57.18517, -9.392254, -2.6706657"
B,x,3,0.95725201,"46.7514·L^3 - 29.8418·L^2 + 5.53031·L + 3.27889","46.751375, -29.841791, 5.5303063, 3.2788921"
B,y,3,0.97317469,"-77.1329·L^3 + 65.3055·L^2 - 14.8781·L + 90.1172","-77.132894, 65.305542, -14.878133, 90.117235"
C,x,3,0.99998719,"65.3705·L^3 - 56.9832·L^2 + 10.4918·L + 99.8749","65.370529, -56.98321, 10.491786, 99.874863"
C,y,3,0.99929247,"-26.2135·L^3 + 30.0387·L^2 - 4.32751·L + 19.4954","-26.213481, 30.038695, -4.3275126, 19.495369"
D,x,3,0.98507389,"59.3248·L^3 - 41.5137·L^2 + 9.16897·L + 100.623","59.324799, -41.513718, 9.1689726, 100.62272"
D,y,3,0.96907831,"-45.8072·L^3 + 36.8112·L^2 - 8.44978·L + 93.7713","-45.807197, 36.811205, -8.4497842, 93.771315"
E,x,3,0.93709835,"-43.8822·L^3 + 25.8179·L^2 - 1.62634·L + 173.246","-43.88224, 25.817895, -1.626342, 173.24621"
E,y,3,0.98176432,"-48.9056·L^3 + 39.0372·L^2 - 10.9226·L + 87.1895","-48.905571, 39.037174, -10.922629, 87.189526"
F,x,3,0.92605412,"-24.9217·L^3 + 14.5613·L^2 - 1.80266·L + 166.088","-24.921728, 14.561255, -1.8026564, 166.08828"
F,y,3,0.99994760,"-27.0424·L^3 + 38.4125·L^2 - 6.07376·L + 37.8755","-27.042395, 38.412457, -6.0737562, 37.875543"
G,x,3,0.93748572,"-51.0055·L^3 + 31.0625·L^2 - 2.67926·L + 240.887","-51.005452, 31.062523, -2.6792629, 240.88742"
G,y,3,0.99986623,"-67.1407·L^3 + 29.6544·L^2 - 12.7314·L + 86.1243","-67.140736, 29.654389, -12.731358, 86.124287"
H,x,3,0.94647625,"-67.6001·L^3 + 41.7323·L^2 - 4.45591·L + 241.119","-67.600067, 41.732318, -4.4559111, 241.119"
H,y,3,0.99988051,"-45.6865·L^3 + 26.9402·L^2 - 9.2574·L + 60.8292","-45.686488, 26.940216, -9.2573984, 60.829209"
I,x,3,0.99987441,"-24.8504·L^3 + 9.8074·L^2 - 3.54609·L + 290.939","-24.850364, 9.807399, -3.5460925, 290.93947"
I,y,3,0.99903988,"-107.69·L^3 + 35.8147·L^2 - 17.1811·L + 93.6119","-107.69038, 35.814709, -17.181053, 93.611909"
